tweet_id,sentiment,author,content
1957083641,anger,elDi_irk,fuckin'm transtelecom
1957089935,anger,umi78,Working   But it's Fridaaaayyyyy
1957110088,anger,NayNay_Rt,Packing  I don't like it..
1957289252,anger,crazy_erin,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
1957291305,anger,msfussybritches,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
1957320931,anger,Medros,@LouGagliardi  damned hordies
1957448941,anger,Crystal_Lyn,"@bcollinstattoo yes, boo for soar throats and earaches!"
1957477724,anger,anthraxmoh,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
1957587490,anger,ArunBasilLal,"@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
1957589597,anger,noidSyStems,"Did a historical Jesus ever exist? Im finding it hard to prove, its all hearsay accounts ... it bugs me ..."
1957597348,anger,cierinethegreat,lost all my files since high school.
1957724418,anger,mm39,"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
1957728707,anger,halona5429,i never knew a dentention was so hard 2 get
1957758701,anger,squeegeebean,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
1958065414,anger,Sparkey09,@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx
1958075486,anger,sarahsarah94,"@LeahMul awh, thats not good,   get better soon!"
1958110071,anger,dibstaru,stuck in stupid Jeuno with flag up.  Wish I was in Windy fishing
1960129867,anger,jasminbryant,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.
1960137406,anger,Nikandjb,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP"
1960339755,anger,EuanGriffin,Confuzzled
1960422487,anger,Lady_Lills,The toaster oven was my fault. Now I'm going to look like an idiot in front of my father.
1960545040,anger,agthekid,@eboogiee smh Your whin with that comment
1960598982,anger,TaylaMe3,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!
1960809800,anger,HarryJA,@mashable Link to ff &quot;how it works&quot; is broke!
1961189720,anger,belasales,aaaaaaaaaaa McFly
1961276271,anger,steamonbeamon,Shout out to my moms for wakin me up so prematurely! Preciate it
1961282376,anger,MRajotte,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
1961482073,anger,deonadee,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.
1961501807,anger,AlexRoebuck,"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;"
1961567959,anger,892300,@jamie_oliver  I was off by one year. I really wanted some of Jamies cooking books in ENGLISH!!!! not German.
1961569799,anger,murphyTweet,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
1961864046,anger,sarahbeery,@BigCatJared   What did I do to you!  sheesh
1961887160,anger,stephaccad,studying for this bullshit econ test
1961969140,anger,latecomer,Internet is painfully slow today
